Vertebra,Dice Score,IoU,Volumetric Similarity
vertebrae_S1,0.5524,0.3816,0.5818
vertebrae_C2,36526.00,36526.00,36526.00
vertebrae_C7,0.7500,0.6000,0.7500
vertebrae_T12,0.9861,0.9726,0.9930
vertebrae_T2,0.9818,0.9642,0.9952
vertebrae_C1,36526.00,36526.00,36526.00
vertebrae_T10,0.9870,0.9744,0.9981
vertebrae_C6,36526.00,36526.00,36526.00
vertebrae_L2,0.9868,0.9740,0.9919
vertebrae_T9,0.9863,0.9731,0.9931
vertebrae_C4,36526.00,36526.00,36526.00
vertebrae_L5,0.9879,0.9760,0.9952
vertebrae_T6,0.8137,0.6859,0.9806
vertebrae_C3,36526.00,36526.00,36526.00
vertebrae_T5,0.5795,0.4080,0.8702
vertebrae_C5,36526.00,36526.00,36526.00
vertebrae_L3,0.9885,0.9773,0.9941
vertebrae_T11,0.9873,0.9749,0.9950
vertebrae_L1,0.9889,0.9781,0.9954
vertebrae_T1,0.9810,0.9627,0.9993
vertebrae_T4,0.8525,0.7429,0.8654
vertebrae_L4,0.9877,0.9757,0.9964
vertebrae_T8,0.9808,0.9624,0.9987
vertebrae_T3,0.9829,0.9663,0.9989
vertebrae_T7,0.9358,0.8793,0.9587
